protein,carbo,total_fat,cholestrl,sodium,calories
5.47,41.29,11.53,1.39,260.78,290.79
5.7,23.75,1.08,3.48,46.17,141.01
4.9,26.88,1.1,3.46,41.79,137.06
1.77,18.17,0.21,0.0,14.01,81.7
1.38,36.63,5.47,10.36,50.22,201.23
3.38,8.04,0.16,0.55,40.01,66.03
1.53,27.17,8.14,23.6,81.26,188.1
3.71,43.21,11.92,31.59,231.95,294.95
2.53,12.71,0.13,0.55,29.49,62.16
0.84,32.74,0.02,0.0,4.04,134.51
2.93,23.17,0.37,0.0,4.3,107.71
10.35,44.99,6.08,108.61,287.35,276.09
0.47,10.62,2.25,0.0,36.78,64.61
3.54,80.36,14.12,28.07,235.19,462.68
1.12,17.96,2.12,5.18,28.77,95.36
7.73,112.08,9.1,22.5,110.91,561.16
5.53,52.93,1.95,0.0,930.08,251.46
7.55,40.09,0.75,2.04,90.23,197.37
0.89,24.58,0.31,0.0,0.63,104.69
3.1,22.4,3.65,51.24,93.63,134.82
1.91,50.51,7.8,0.0,142.9,279.84
2.24,41.39,0.54,0.0,24.36,179.41
5.12,42.78,13.74,18.09,265.53,315.26
1.45,19.76,0.54,0.0,1.4,89.74
5.76,37.4,0.56,1.73,50.34,177.64
0.65,16.63,0.08,0.0,0.17,69.84
8.0,105.99,5.99,22.5,108.91,509.83
3.63,33.68,2.58,0.0,196.47,172.4
0.35,12.55,0.17,0.0,2.2,53.12
7.35,37.87,16.8,13.08,236.02,332.05
6.25,69.48,2.39,54.65,384.14,324.42
4.33,29.9,21.16,43.61,231.53,327.39
1.25,32.09,0.16,0.0,4.78,134.77
1.71,33.02,5.55,5.18,92.68,188.86
0.35,29.5,0.37,0.0,1.29,136.45
4.93,74.44,17.49,3.89,297.4,474.87
6.69,37.09,1.88,3.28,111.33,192.02
5.25,47.1,1.68,0.07,743.17,224.55
3.65,41.96,4.2,0.0,206.64,220.25
6.87,14.32,7.94,10.84,407.02,156.24
0.82,6.31,1.49,4.17,50.23,41.92
4.62,43.91,6.63,73.88,192.31,253.74
5.92,53.66,10.31,17.71,214.82,331.16
3.44,33.83,8.6,38.78,246.78,226.46
3.38,43.56,1.9,4.0,116.23,204.87
3.24,38.98,9.2,11.66,47.86,251.68
4.9,56.21,15.87,0.0,275.72,387.29
2.67,23.83,9.4,35.42,68.65,190.61
0.42,9.48,2.32,0.0,62.25,60.45
6.16,29.22,2.73,107.35,65.56,166.12
0.44,9.16,0.35,0.0,0.05,41.53
1.04,40.7,0.5,0.0,9.7,185.65
5.61,36.64,12.56,0.34,70.32,282.1
2.6,43.72,4.63,11.66,298.34,226.96
0.46,7.77,0.9,2.23,15.02,41.01
1.39,27.81,0.93,0.0,0.51,125.2
3.63,36.6,8.97,0.0,57.01,241.65
6.38,36.47,10.83,22.94,111.17,268.92
4.39,65.75,4.6,9.48,189.85,321.96
2.69,17.67,1.22,27.11,23.62,92.43
9.63,27.67,9.34,25.84,221.41,233.25
2.43,25.63,0.95,22.96,86.79,120.85
0.45,21.9,0.09,0.0,0.9,90.22
1.04,24.23,0.47,0.0,5.19,105.27
0.31,9.96,0.17,0.0,38.72,42.64
22.74,53.15,53.23,75.6,494.39,782.61
3.7,34.15,3.61,31.49,182.75,183.91
4.11,37.03,5.94,82.21,166.81,218.01
2.23,26.49,9.94,23.31,62.54,244.91
3.09,37.93,7.67,26.56,104.28,241.02
2.55,10.6,1.6,4.07,68.77,66.97
